Unnamed: 0,Id,Predicted_x,Predicted_y,Predicted_x.1,Predicted_y.1,Predicted_x.2,Predicted_y.2,result
0,d14cb73158624cf094c546d856fd3c80,뉴 740Li 25주년 에디션,뉴 740Li 25주년 에디션,뉴 740Li 25주년 에디션(7대 한정),뉴 740Li 25주년 에디션,뉴 740Li 25주년 에디션,뉴 740Li 25주년 에디션(7대 한정),뉴 740Li 25주년
1,906631384e91493ebe1c7f34aea6f241,독일 뒤셀도르프로,독일 뒤셀도르프로,독일 뒤셀도르프로,독일 뒤셀도르프로,독일 뒤셀도르프로,독일 뒤셀도르프로,독일 뒤셀도르프로
2,35e61dcb479643448a2cb7d326ae50a6,링크트인과 페이스북,링크트인,링크트인과 페이스북,링크트인과 페이스북,페이스북,링크트인과 페이스북,페이스북
3,075e761b370040cb9041eecd39afc27c,링크트인과 페이스북,링크트인,링크트인과 페이스북,링크트인과 페이스북,페이스북,링크트인과 페이스북,페이스북
4,e67ed38f3dd944be94d5b4c53731f334,마드리드,마드리드,마드리드,마드리드,마드리드,마드리드,마드리드
5,80cacfdfe76442b0b39568e8b193d066,국제 원자재값 하락,국제 원자재값 하락,국제 원자재값,국제 원자재값 하락,국제 원자재값 하락,국제 원자재값 하락,국제 원자재값
6,78a80cca941c46379a5c65b2f1392f7c,5조원,5조원,5조원,5조원,5조원,5조원,5조원
7,5c19b9781f8a4f0faa9045274c38a8b4,‘운영허가 인증서’,‘운영허가 인증서’,‘운영허가 인증서’,‘운영허가 인증서’,‘운영허가 인증서’,‘운영허가 인증서’,‘운영허가 인증서’
8,d2844b7141cb4a2594d433e9c1e5cd0c,성형,성형,중합,중합,중합,중합,중합
9,be39b91f52a04b0aaafc96ff505cb2fc,노르웨이,노르웨이,노르웨이,노르웨이,노르웨이,노르웨이,노르웨이
10,98fe72c173f642e29f9284f1769fd4f6,22개,22개,22개,22개,22개,22개,22개
11,1756f8a643124b52aa773a0f38b7b6fa,필리핀,필리핀,필리핀,필리핀,필리핀,필리핀,필리핀
12,1f1ef695105049079e093bae6f4ad8e7,김교성,김교성,김교성,김교성,김교성,김교성,김교성
13,acbc4be5f9d04b76a30451f8c6baf277,79달러,36달러,79달러,79달러,79달러,62달러,79달러
14,393657048abd435b9059b00ed54dcc47,존 위클리프,존 위클리프,존 위클리프,존 위클리프,존 위클리프,존 위클리프,존 위클리프
15,08ee8dae9f6744cf91d79e0782426d33,존 위클리프,존 위클리프,얀 후스,보헤미아 왕국의 얀 후스,존 위클리프,얀 후스,얀 후스
16,0fd8aca8b9844e3d85e0379272600e3b,신성 로마 제국의 황제 지기스문트,교황 마르티노 5세,신성 로마 제국의 황제 지기스문트,신성 로마 제국의 황제 지기스문트,신성 로마 제국의 황제 지기스문트,신성 로마 제국의 황제 지기스문트,신성 로마 제국의 황제 지기스문트
17,fa773f05fd224cbab0327d1459e38f8a,복정역,복정역,복정역,복정역,복정역,복정역,복정역
18,89810801a2f446ef9ea0b74cdc478f3c,법무법인 내일,법무법인 한울,법무법인 한울,법무법인 한울,법무법인 한울,법무법인 한울,법무법인
19,30a8f6b62fa142209b241d35e308002b,서울대 음대,한국예술종합학교 음악원,한국예술종합학교 음악원,서울대 음대,서울대 음대,한국예술종합학교 음악원,한국예술종합학교 음악원
